"id","text","author"
"id26305","However, this process did not provide me with any means to determine the dimensions of my dungeon; how could he make his circuit, and return to the point where I left, without being aware of the fact; So perfectly even the wall seemed.","EAP"
"id17569","It never occurred to me that clumsiness could be a mere mistake.","HPL"
"id11008","In his left hand was a snuff box of gold, from which, while advancing on the hill, cutting all kinds of fantastic steps, he took tobacco without ceasing with an air of as much self-satisfaction as possible.","EAP"
"id27763","How beautiful is the spring While we looked from Windsor Terrace in the sixteen fertile counties that stretched below, dotted with happy cabins and richer cities, everything seemed as in previous years, a happy and fair heart.","MWS"
"id12958","Finding nothing else, not even gold, the Superintendent abandoned his attempts; but a perplexed look from time to time sneaks over his face as he sits thinking at his desk.","HPL"
"id22965","A young man who died in solitude, my best years under your kind and feminine welcome, has refined my character&#39;s basic work so much that I can not overcome an intense distaste for the usual brutality on board: I never thought it was necessary. and when I learned of a sailor equally known for his kindness of heart and the respect and obedience his crew paid him, I felt particularly fortunate to be able to secure his services.","MWS"
"id09674","The astronomer, perhaps, at this point, took refuge in the suggestion of no luminosity; And here suddenly the analogy was dropped.","EAP"
"id13515","The crush hung on my body&#39;s ribands.","EAP"
"id19322","I knew that you could not tell yourself &quot;stereotomy&quot; without being made to think about the atomities and, therefore, the theories of Epicurus; and as not long ago, when we discussed this subject, I mentioned to you how singularly, and with little attention, the vague suppositions of that Greek nobleman had met with confirmation in the last nebular cosmogony, I felt that I could not help it. Turning your eyes towards the great Orion nebula, and I certainly expected you to do it.","EAP"
"id00912","I confess that neither the structure of the languages, nor the code of the governments, nor the politics of several states had attractions for me.","MWS"
"id16737","You will find that I can feel my wounds; You will learn to fear my revenge &quot;A few days after your arrival.","MWS"
"id16607","Here we barricaded ourselves and, for the moment, we were safe.","EAP"
"id19764","Herbert West needed fresh bodies because the work of his life was the reanimation of the dead.","HPL"
"id18886","The farm grounds extended toward the hill, almost to Wheaton Street.","HPL"
"id17189","But one look will show the fallacy of this idea.","EAP"
"id12799","I had escaped, and I must begin a destructive and almost endless journey through the icy mountains of the ocean, in the midst of the cold that few of the inhabitants could endure for a long time and that I, the native of a brilliant and sunny climate, I could not hope to survive.","MWS"
"id08441","To these discourses they gave, of course, their own interpretation; thinking, without a doubt, that, in any case, he should be in possession of vast amounts of ready money; and as long as I pay them all that I owe, and a little more, in consideration of their services, I dare to say that they cared very little about what would happen to my soul or my corpse.","EAP"
"id13117","Her native joviality did not need undue excitement, and her peaceful heart was content with my love, the well-being of her children and the beauty of the surrounding nature.","MWS"
"id14862","I even went so far as to speak of a slightly agitated cough with which, at some point, I had been worried about a chronic rheumatism of a hereditary drop of blood and, in conclusion, of the unpleasant and uncomfortable, but until now carefully hidden. weakness of my eyes","EAP"
"id20836","His facial appearance, too, was remarkable for his maturity; because although he shared the lack of chin of his mother and grandfather, his firm and precocious nose joined the expression of his large dark eyes, almost Latin, to give him an air of almost adulthood and an almost preternatural intelligence.","HPL"
"id11411","Now, the work of the network was not permanently subject to the hoop, but was linked by a series of loops or ropes in execution.","EAP"
"id08075","It was not that the sounds were horrible, because they were not; but that they had vibrations that did not suggest anything in this terrestrial globe, and that at certain intervals assumed a symphonic quality that could hardly be conceived as produced by a player.","HPL"
"id18925","In each hand there was a desert of balconies, verandas, minarets, sanctuaries, and fantastically carved oriels.","EAP"
